no,surface,filter,ui_control,options,expected_behavior,api_logic,db_table,db_column,data_available,coverage,actual_behavior,ui_db_match,status,notes
11,A. Creator Database (sidebar),Location — Creator location,Select — DIRENDER DISABLED,Hanya satu opsi: 'All cities' — Hardcoded,Menyaring creator berdasarkan kota domisili,No API integration,public.kol_directory,creator_city,Tidak,0 / 7.720 = 0%,Select dirender disabled karena tidak ada kota yang bisa jadi pilihan.,NOT AVAILABLE,NOT AVAILABLE,Kolom `creator_city` ada di schema tapi NULL/kosong untuk seluruh 7.720 baris aktif. UI sudah jujur menyebutkan ini.
12,A. Creator Database (sidebar),Location — Audience location,Select — DIRENDER DISABLED,Hanya satu opsi: 'All cities' — Hardcoded,Menyaring creator berdasarkan lokasi pengikut,No API integration,l2_gold.audience_geo_daily,geo_key / geo_level,Sebagian,"23 / 7.720 = 0,3%",Select dirender disabled.,NOT AVAILABLE,NOT AVAILABLE,Teks UI bilang 'Lokasi audiens tidak punya kolom sama sekali' — tidak akurat: `audience_geo_daily` ada dan berisi country+city untuk 23 akun. Tetap tidak layak jadi filter karena 84–97% sampelnya 'unknown'.
13,A. Creator Database (sidebar),Other — Min. authenticity,Range Slider — DIRENDER DISABLED,"0–100, value dipaku 0",Menampilkan hanya creator dengan skor autentisitas ≥ N,No API integration,NOT FOUND,NOT FOUND,Tidak,0 / 7.720 = 0%,"Slider disabled, onChange kosong.",NOT AVAILABLE,NOT AVAILABLE,Tidak ada kolom autentisitas / deteksi follower palsu di manapun dalam database KOL.
14,A. Creator Database (sidebar),Other — Min. brand fit,Range Slider — DIRENDER DISABLED,"0–100, value dipaku 0",Menampilkan hanya creator dengan skor kecocokan brand ≥ N,No API integration,NOT FOUND,NOT FOUND,Tidak,0 / 7.720 = 0%,"Slider disabled, onChange kosong.",NOT AVAILABLE,NOT AVAILABLE,Tidak ada kolom brand fit. `feature.brand_fit_analysis` ada sebagai tabel tapi bukan sumber yang dipakai filter ini dan tidak terhubung ke `kol_directory`.
15,A. Creator Database (sidebar),Other — Max. paid ratio,Range Slider — DIRENDER DISABLED,"0–100%, value dipaku 100",Menampilkan hanya creator dengan porsi konten berbayar ≤ N%,No API integration,l2_gold.post_metric,is_sponsored,Tidak,"30 / 7.720 = 0,4%","Slider disabled, onChange kosong.",NOT AVAILABLE,NOT AVAILABLE,"`is_sponsored` ada di post_metric tapi hanya 30 akun punya baris post sama sekali, dan masing-masing dibatasi 10 post — tidak cukup untuk menghitung rasio paid tingkat creator."
16,A. Creator Database (sidebar),Other — Min. campaigns,Range Slider — DIRENDER DISABLED,"0–15, value dipaku 0",Menampilkan hanya creator yang pernah menjalankan ≥ N campaign,No API integration,public.campaign_kols,campaign_id (count per kol),Tidak,0 / 7.720 = 0%,"Slider disabled, onChange kosong.",NOT AVAILABLE,NOT AVAILABLE,`public.campaign_kols` dan `public.campaigns` dua-duanya 0 baris. UI sudah menyebutkan ini dengan benar.
17,A. Creator Database (sidebar),Verified creators only,Toggle (switch),on / off,Menampilkan hanya creator berstatus terverifikasi,"GET ...?verified=1 → SQL `LOWER(COALESCE(verified_status,'')) IN ('verified','true','yes')`",public.kol_directory,verified_status,Sebagian,"454 / 7.720 = 5,9% (non-NULL: 931 = 12,1%)",Server-side. Menyala → hasil turun dari 7.720 ke 454 baris.,PARTIAL,PARTIAL,"6.789 baris punya verified_status NULL — belum pernah dicek, bukan 'tidak terverifikasi' — dan ikut tersembunyi. Nilai yang benar-benar ada di DB hanya 'verified' (454) dan 'unverified' (477); mapping backend menerima 'true'/'yes' yang tidak pernah muncul. Perlu dicatat juga: kolom ini berkonflik dengan `l1_silver.unified_profile.is_verified` yang false untuk semua akun."
18,A. Creator Database (toolbar),Search (kotak pencarian),Text Input + debounce 350ms,Teks bebas,Mencari creator berdasarkan nama/handle,GET ...?q=raffi → SQL `b.username ILIKE '%' || $1 || '%'`,public.kol_directory,username,Ya,"7.498 / 7.720 = 97,1%","Server-side dengan debounce 350ms, reset ke halaman 1. `%` dan `_` di-escape jadi literal.",PARTIAL,PARTIAL,Hanya mencocokkan `username`. Nama asli creator tersimpan di `agency_kol_accounts.label` untuk 7.684 baris dan tidak ikut dicari — mengetik 'Raffi Ahmad' mengembalikan 0 hasil padahal @raffinagita1717 ada di roster. Bio juga tidak dicari.
19,A. Creator Database (toolbar),Category quick-chips,"Chips (single-select), 6 teratas",6 kategori dengan count tertinggi dari facets,Pintasan untuk filter Category di sidebar,Sama dengan filter Category — `category=`,public.kol_directory ⋈ public.kol_categories,category_ids → kc.name,Sebagian,"4.174 / 7.720 = 54,1%",Berbagi state dengan sidebar; menekan chip mengubah filter yang sama.,YES,PARTIAL,"Sengaja tidak dihitung di badge 'jumlah filter aktif' (`activeFilterCount` mengecualikan category) supaya tidak terhitung dua kali — konsisten, tapi berarti badge bisa menunjukkan 0 padahal grid sedang tersaring kategori."
20,A. Creator Database (toolbar),Sort,Dropdown (single-select),Followers / Engagement / Last updated / Name — Hardcoded `SORTOPTS`,Mengurutkan hasil,"GET ...?sort=followers&dir=desc → `ORDER BY <SCRAPED_FIRST>, col DIR NULLS LAST`",public.kol_directory,followers_count / engagement_rate / last_refreshed_at / username,Ya,"97,1% / 22,7% / 97,1% / 97,1%",Server-side. Setiap urutan selalu didahului grup provenance (Live → Calculated → Estimated).,PARTIAL,PARTIAL,"Backend mendukung kunci kelima `created` (`created_at`) yang tidak diekspos di dropdown — hanya dipakai shelf 'Recently added' di Hub. Karena `SCRAPED_FIRST` selalu jadi kunci pertama dan 0 baris berstatus Live, urutan efektifnya adalah 27 baris Calculated dulu, baru 7.693 Estimated."
21,A. Creator Database (toolbar),Saved lists,Dropdown + Text Input (simpan/terapkan),Daftar yang dibuat user sendiri,Menyimpan kombinasi query+filter dan menerapkannya lagi,Client-side only — `localStorage['autometric.kolDirectory.lists.<orgId>']`,NOT FOUND,NOT FOUND,Tidak,Unknown (per-browser),Disimpan hanya di localStorage browser. Tidak ada request ke API dan tidak ada tabel penyimpan.,NOT AVAILABLE,PARTIAL,"Berfungsi penuh untuk satu browser, tapi hilang saat ganti perangkat, ganti browser, atau clear site data. Tidak bisa dibagi antar anggota tim."
22,A. Creator Database (preset),Preset: Best Performing,"Chip (single-select, toggle)",Hardcoded — 8 preset di `CREATOR_PRESETS`,"Engagement di atas 3%, diurutkan dari skor kualitas tertinggi",Set `erMin: 3` → dikirim sebagai `minEr=3`; ranking `s.quality` client-side,public.kol_directory,engagement_rate,Sebagian,"219 / 7.720 = 2,8%","Filter server-side jalan benar. Ranking-nya dihitung ulang hanya atas 12 baris halaman yang sedang dimuat, memakai `quality` dari generator ber-seed.",PARTIAL,PARTIAL,"`quality` bersumber dari `sampleIntel()` di kolSample.ts — data demo deterministik, bukan pengukuran. Label preset menyebut 'skor kualitas' tanpa menandai bahwa skor itu dimodelkan (`basis: 'modelled'` ada di data tapi tidak ditampilkan di chip)."
23,A. Creator Database (preset),Preset: High Engagement,"Chip (single-select, toggle)",Hardcoded,Engagement rate terukur di atas 4% — angka nyata dari platform,Set `erMin: 4` → `minEr=4`; ranking `erPct` client-side,public.kol_directory,engagement_rate,Sebagian,"178 / 7.720 = 2,3%","Filter server-side jalan, ranking memakai nilai terukur.",YES,PARTIAL,"Satu-satunya preset yang filter dan ranking-nya sama-sama dari data terukur. Tetap PARTIAL karena ranking hanya menata ulang 12 baris halaman aktif, bukan 178 baris hasil."
24,A. Creator Database (preset),Preset: Fast Growing,"Chip (single-select, toggle)",Hardcoded,Diurutkan dari pertumbuhan follower bulanan tertinggi,`filters: {}` — TIDAK ADA parameter API. Ranking `s.growthMonthly` client-side,NOT FOUND,NOT FOUND,Tidak,0 / 7.720 = 0%,Menekan chip tidak mengubah query apapun. Yang terjadi hanya 12 baris di halaman aktif diurutkan ulang memakai angka pertumbuhan hasil generator ber-seed.,MISMATCH,MISMATCH,"Tidak ada kolom pertumbuhan follower di `kol_directory`. `growthMonthly` seluruhnya berasal dari `sampleIntel()` — mulberry32 ber-seed id creator. Preset terlihat aktif (chip menyala, badge berubah) padahal tidak menyaring apa pun."
25,A. Creator Database (preset),Preset: High Audience Quality,"Chip (single-select, toggle)",Hardcoded,Diurutkan dari skor kualitas audiens dan authenticity,`filters: {}` — TIDAK ADA parameter API. Ranking `(audienceQuality + authenticity)/2`,NOT FOUND,NOT FOUND,Tidak,0 / 7.720 = 0%,Sama seperti Fast Growing: hanya menata ulang 12 baris halaman aktif dengan angka hasil generator.,MISMATCH,MISMATCH,"`audienceQuality` dan `authenticity` dua-duanya dimodelkan. Tidak ada kolom autentisitas di database KOL, dan data audiens nyata (gender) hanya ada untuk 23 akun."
26,A. Creator Database (preset),Preset: Best Brand Fit,"Chip (single-select, toggle)",Hardcoded,Diurutkan dari kecocokan konten dan audiens dengan brand,`filters: {}` — TIDAK ADA parameter API. Ranking `s.brandFit`,NOT FOUND,NOT FOUND,Tidak,0 / 7.720 = 0%,Hanya menata ulang 12 baris halaman aktif dengan `brandFit` hasil generator.,MISMATCH,MISMATCH,"Tidak ada kolom brand fit dan tidak ada brand yang jadi acuan — preset tidak menerima parameter brand sama sekali, jadi 'kecocokan dengan brand' tidak punya lawan bicara."
27,A. Creator Database (preset),Preset: Emerging Creators,"Chip (single-select, toggle)",Hardcoded,"Di bawah 100rb follower, diurutkan dari pertumbuhan tercepat",`filters: {}` — TIDAK ADA parameter API. Ranking memberi 0 ke creator ≥100rb follower,public.kol_directory (hanya untuk followers),followers_count,Tidak,0 / 7.720 = 0%,"Batas 100rb follower TIDAK dikirim ke server. Grid tetap diurutkan followers desc, jadi baris teratas justru creator terbesar yang semuanya diberi rank 0.",MISMATCH,MISMATCH,"Ini yang paling menyesatkan dari delapan preset: deskripsi menjanjikan 'di bawah 100rb follower' tapi tanpa `follMin`/`follMax` di query, halaman pertama berisi creator ratusan juta follower. Seharusnya cukup ditambahkan batas atas follower ke `filters`."
28,A. Creator Database (preset),Preset: Campaign Ready,"Chip (single-select, toggle)",Hardcoded,Terverifikasi dan sudah punya rate card — bisa langsung ditawar,Set `verifiedOnly: true` → `verified=1`; ranking `s.rateCount > 0 ? 100 : 0`,public.kol_directory + l1_silver.unified_rate_card,verified_status + u.fee,Sebagian,"454 / 7.720 = 5,9% (verified); 0 / 7.720 = 0% (rate card)","Separuh filternya jalan (verified), separuh lagi tidak: `rateCount` selalu 0 karena tabel rate card kosong, jadi seluruh hasil dapat rank 0 dan ranking-nya rata.",MISMATCH,PARTIAL,"Deskripsi menjanjikan dua syarat, yang tercapai hanya satu. 'Sudah punya rate card' tidak pernah terpenuhi oleh siapa pun karena `unified_rate_card` 0 baris."
29,A. Creator Database (preset),Preset: Cost Efficient,"Chip (single-select, toggle)",Hardcoded,Diurutkan dari biaya per 1.000 follower termurah — harga rate card nyata,`filters: {}` — TIDAK ADA parameter API. Ranking `cpmOf(s)`,l1_silver.unified_rate_card,u.fee ÷ followers_count,Tidak,0 / 7.720 = 0%,"`cpmOf()` mengembalikan null saat `rateFrom` falsy, dan `rateFrom` selalu null. Semua creator dapat rank 0, urutan grid tidak berubah sama sekali.",MISMATCH,MISMATCH,Deskripsi secara eksplisit menyebut 'harga rate card nyata' padahal tidak ada satu pun harga di database KOL. Preset ini tidak melakukan apa-apa selain menyalakan chip.
30,B. Tracked Accounts,Pencarian (q),Text Input,Teks bebas,Mencari akun berdasarkan username atau nama brand,Client-side filter atas payload penuh dari GET /discover/profiles,public.social_accounts / public.brands (warehouse),username / b.name,Ya,Semua akun ter-load (org-scoped),Tidak ada network request per ketikan — seluruh roster org di-fetch sekali lalu difilter di memori.,YES,YES,Aman karena jumlah akun per org kecil (53 social_accounts di 23 org). Pola ini tidak akan skala kalau sumbernya diganti ke roster 7.720.
31,B. Tracked Accounts,Tipe akun,Chips (single-select),Semua / Brand / Kompetitor — Hardcoded,Memisahkan akun milik brand sendiri dari akun kompetitor,Client-side `a.relation !== filters.relation`,public.brand_social_accounts / public.brand_competitors (warehouse),relation (turunan SQL),Ya,45 owned + 7 competitor links,Filter client-side atas nilai yang benar-benar dari SQL.,YES,YES,Salah satu dari sedikit filter di layar ini yang bekerja atas data nyata.
32,B. Tracked Accounts,Platform,Chips (single-select),Dinamis dari akun yang ter-load,Menyaring akun ke satu platform,Client-side `a.platform !== filters.platform`,public.social_accounts ⋈ public.platforms (warehouse),platform_id → key,Ya,Semua akun ter-load,Filter client-side atas nilai nyata; opsi chip diturunkan dari data yang ada.,YES,YES,"Opsi dinamis, jadi tidak mungkin muncul platform yang tidak punya akun."
33,B. Tracked Accounts,Kategori,Chips (single-select),Fitness / Lifestyle / Beauty / Food / Tech / Fashion / Travel — Hardcoded `CATEGORIES` (vocab.ts),Menyaring akun berdasarkan kategori konten,Client-side `p.category.value !== filters.category`,NOT FOUND,NOT FOUND,Tidak,0 / total akun = 0%,"Filter memang menyaring, tapi nilai yang disaring dihasilkan `est(pick(seed,'cat',CATEGORIES))` — hash FNV-1a atas id akun.",MISMATCH,MISMATCH,"Kategori tidak dibaca dari kolom manapun. Grup ini ditandai `estimated` di UI dan basis-nya berbunyi 'Belum ada klasifikasi konten — dimodelkan', tapi filternya tetap bisa dipakai dan hasilnya terlihat seperti hasil penyaringan sungguhan. Bandingkan dengan Creator Database yang punya 28 kategori nyata dari DB — dua layar dalam modul yang sama memakai taksonomi berbeda."
34,B. Tracked Accounts,Lifestyle,Chips (single-select),Urban Active / Family First / Health Conscious / Trend Seeker / Budget Savvy / Premium Buyer — Hardcoded `LIFESTYLES`,Menyaring akun berdasarkan lifestyle audiens,Client-side `p.lifestyle.value !== filters.lifestyle`,NOT FOUND,NOT FOUND,Tidak,0 / total akun = 0%,"Menyaring nilai hasil hash `est(pick(seed,'life',LIFESTYLES))`.",MISMATCH,NOT AVAILABLE,Tidak ada kolom lifestyle di warehouse maupun database KOL. Seluruh taksonomi ini hanya ada di vocab.ts.
35,B. Tracked Accounts,Lokasi,Chips (single-select),Jakarta / Bandung / Surabaya / Medan / Yogyakarta / Bali / Makassar — Hardcoded `LOCATIONS`,Menyaring akun berdasarkan kota,Client-side `p.location.value !== filters.location`,NOT FOUND,NOT FOUND,Tidak,0 / total akun = 0%,"Menyaring nilai hasil hash `est(pick(seed,'loc',LOCATIONS))`.",MISMATCH,NOT AVAILABLE,Tujuh kota hardcoded. Tidak ada kolom lokasi pada `social_accounts`; `kol_directory.creator_city` di database sebelah juga 0/7.720.
36,B. Tracked Accounts,Tier,Chips (single-select),Nano / Micro / Mid-tier / Macro / Mega — Hardcoded `TIERS`,Menyaring akun berdasarkan band follower,Client-side `p.tier.value !== filters.tier`,Turunan dari followers (yang sendirinya dimodelkan),tierOf(followers),Sebagian,0 / total akun = 0% (follower nyata),"`tier` ditandai `calc()` — dihitung dari `followers`, tapi `followers` sendiri `est()`: 'Diperkirakan dari rata-rata views (follower belum disinkronkan)'.",MISMATCH,MISMATCH,"Rantai turunannya menyesatkan: band tier terlihat seperti hasil hitungan (`calculated`) padahal input-nya perkiraan. Nama band-nya sama persis dengan `kol_tiers` di database KOL, sehingga mudah dikira sumbernya sama."
37,B. Tracked Accounts,Umur dominan,Chips (single-select),13-17 / 18-24 / 25-34 / 35-44 / 45-54 / 55+ — Hardcoded `AGE_BANDS`,Menyaring akun berdasarkan kelompok umur audiens terbesar,Client-side `p.topAge.value !== filters.age`,NOT FOUND,NOT FOUND,Tidak,0 / total akun = 0%,Menyaring `est(topAge)` dari distribusi umur hasil generator.,MISMATCH,NOT AVAILABLE,Tidak ada data umur audiens di kedua database. `l2_gold.audience_demographics_daily` hanya punya gender.
38,B. Tracked Accounts,Gender mayoritas,Chips (single-select),Semua / Perempuan / Laki-laki — Hardcoded,Menampilkan hanya akun dengan audiens perempuan ≥50% atau laki-laki ≥50%,Client-side `p.genderSplit.value.female < 50` / `.male < 50`,NOT FOUND (untuk akun warehouse),NOT FOUND,Tidak,0 / total akun = 0%,Ambang 50% diterapkan pada `est(genderSplit)` hasil generator.,MISMATCH,NOT AVAILABLE,"Data gender audiens nyata memang ada, tapi di database KOL untuk 23 akun roster — bukan untuk akun brand/kompetitor yang jadi isi layar ini."
39,B. Tracked Accounts,Format konten,Chips (single-select),Dinamis dari format yang muncul di post akun ter-load,Menyaring akun berdasarkan format yang paling sering dipakai,Client-side `p.topFormat.value !== filters.format`,l1_silver.unified_post (warehouse),format / post_type,Sebagian,"245 / 1.700 post = 14,4% punya kolom format",`topFormat` ditandai `live()` — dihitung dari post nyata milik akun.,PARTIAL,PARTIAL,"Nilainya nyata, tapi hanya 245 dari 1.700 baris `unified_post` punya `format`; sisanya jatuh ke fallback 'Post'. Akun tanpa post sama sekali akan selalu ber-format 'Post'."
40,B. Tracked Accounts,Ambang: Followers,Select (4 opsi),Semua / ≥10K / ≥100K / ≥1M — Hardcoded `FOLLOWER_OPTS`,Menampilkan hanya akun dengan follower ≥ ambang,Client-side `p.followers.value < filters.followersMin`,NOT FOUND (follower tidak disinkronkan),diperkirakan dari avg views,Tidak,0 / total akun = 0%,Menyaring `est(followers)` — 'Diperkirakan dari rata-rata views (follower belum disinkronkan)'.,MISMATCH,MISMATCH,"Follower adalah metrik paling dasar dan paling mudah dipercaya user, tapi di layar ini nilainya perkiraan dari views. Di Creator Database follower-nya nyata (97,1%) — dua layar, dua arti untuk kata yang sama."
41,B. Tracked Accounts,Ambang: Engagement rate,Select (4 opsi),Semua / ≥1% / ≥3% / ≥5% — Hardcoded `ER_OPTS`,Menampilkan hanya akun dengan ER ≥ ambang,Client-side `p.erPct.value < filters.erMin`,l1_silver.unified_post (warehouse),engagement per post ÷ views,Ya,Dihitung dari post akun yang ada,`erPct` ditandai `live()` — rata-rata ER per post nyata.,YES,YES,Nilai terukur. Akun tanpa post akan ber-ER 0 dan otomatis tersaring keluar oleh ambang manapun — perilaku ini benar tapi tidak dijelaskan di UI.
42,B. Tracked Accounts,Ambang: Est. reach,Select (4 opsi),Semua / ≥50K / ≥250K / ≥1M — Hardcoded `REACH_OPTS`,Menampilkan hanya akun dengan perkiraan reach ≥ ambang,Client-side `p.estimatedReach.value < filters.reachMin`,l1_silver.unified_post (warehouse),avg views × faktor reach,Sebagian,Turunan dari views,`estimatedReach` ditandai `calc()` dengan basis 'Rata-rata views dikali faktor reach per akun'.,PARTIAL,PARTIAL,"Turunan, bukan reach terukur — `reach` asli NULL di seluruh medallion. Ditandai `calculated` di UI, jadi jujur, tapi ambangnya (≥1M reach) mudah dikira angka platform."
43,B. Tracked Accounts,Ambang: Authenticity,Select (4 opsi),Semua / ≥75% / ≥85% / ≥90% — Hardcoded `AUTH_OPTS`,Menampilkan hanya akun dengan skor autentisitas ≥ ambang,Client-side `p.authenticity.value < filters.authMin`,NOT FOUND,NOT FOUND,Tidak,0 / total akun = 0%,Menyaring `est(authenticity)` hasil generator.,MISMATCH,NOT AVAILABLE,Basis di UI berbunyi 'Deteksi follower palsu belum tersedia — dimodelkan'. Ambang seperti '≥90%' memberi kesan presisi yang tidak dimiliki angkanya.
44,B. Tracked Accounts,Ambang: Brand fit,Select (4 opsi),Semua / ≥50 / ≥65 / ≥80 — Hardcoded `FIT_OPTS`,Menampilkan hanya akun dengan skor brand fit ≥ ambang,Client-side `p.brandFit.value < filters.brandFitMin`,Turunan campuran,audienceQuality 35% + authenticity 30% + ER 20% + konsistensi 15%,Sebagian,Hanya komponen ER (20%) yang terukur,`brandFit` ditandai `calc()` dan formulanya ditampilkan di tooltip.,PARTIAL,PARTIAL,"Formulanya transparan, tapi 80% bobotnya berasal dari komponen yang dimodelkan (audienceQuality dan authenticity). Hanya bagian ER yang nyata."
45,B. Tracked Accounts,Ambang: Rasio paid,Select (4 opsi),Semua / ≤25% / ≤50% / ≤75% — Hardcoded `PAID_OPTS`,Menampilkan hanya akun dengan porsi konten berbayar ≤ ambang,Client-side `p.paidRatio.value > filters.paidMax`,l1_silver.unified_post (warehouse),penanda campaign/boosted per post,Ya,Dihitung dari post akun yang ada,`paidRatio` ditandai `live()` — 'Bagian post bertanda campaign atau boosted'.,YES,YES,Nilai terukur dari post nyata.
46,B. Tracked Accounts,Hanya terverifikasi,Toggle,on / off,Menampilkan hanya akun terverifikasi,Client-side `filters.verifiedOnly && !p.verified.value`,NOT FOUND,NOT FOUND,Tidak,0 / total akun = 0%,"Menyaring `est(rnd(seed,'ver') > 0.35)` — koin ber-seed dengan peluang menyala 65%.",MISMATCH,MISMATCH,"Ini paling berbahaya di antara filter yang dimodelkan: verified adalah fakta biner yang user anggap pasti benar, tapi di sini ditentukan hash id akun. Basis-nya berbunyi 'Status verifikasi belum disinkronkan' dan hanya terlihat lewat tooltip badge."
