section,c1,c2,c3,c4,c5,c6,c7,c8,c9
end-to-end,11. Save to Database,Creator tersimpan permanen,Baris identitas + data terukur,"Satu transaksi: `kol_directory` → `social_account` → `kol_social_account`, di-COMMIT sebelum scrape dimulai. Setelah scrape, `kol_directory` di-UPDATE dengan COALESCE","addKolScrape.ts:601-628, 337-501",POST /api/kol-directory/add,INSERT 3 tabel + UPDATE `kol_directory` (8 kolom),PARTIAL,"Transaksinya benar (BEGIN/COMMIT/ROLLBACK) dan UPDATE-nya defensif — setiap kolom di-COALESCE sehingga scrape yang tidak mengembalikan satu field tidak menimpa nilai lama. Yang tidak pernah diisi: **`category_id` / `category_ids`** dan **`creator_city`**. Terbukti pada ketiga creator hasil Add KOL: category NULL, city NULL."
end-to-end,12. Connect to Organization,Creator terhubung ke org/agency,Relasi kepemilikan terbentuk,`ensureAgencyLink()` best-effort — gagal diam bila user tidak ketemu,addKolScrape.ts:564,Bagian dari transaksi identitas,INSERT `public.agency_kol_accounts` (opsional),PARTIAL,"Komentar di route menyatakan `public.user` masih kosong sehingga resolusi agency tidak akan menemukan siapa pun. Terbukti tidak konsisten pada data nyata: `raditya_dika` punya 1 agency link, `sekata_ai` punya 0. Roster KOL memang global (bukan per-org), jadi ini tidak memblokir — tapi creator tanpa link tidak punya jejak siapa yang menambahkannya."
end-to-end,13. Enable Tracking / Monitoring,Creator masuk pemantauan berkala,Dijadwalkan refresh otomatis,**Tidak ada.** Flow A tidak menyetel flag monitoring apa pun; `kol_directory` tidak punya kolom monitoring,NOT FOUND,NOT FOUND,NOT FOUND,NOT AVAILABLE,"Flow B punya ini (`discover_creators.monitoring_enabled`, dengan toggle di kartu My Creators dan endpoint PATCH). Flow A tidak. Sekali ditambahkan, creator roster hanya di-refresh bila ada yang menekan Add KOL lagi atas handle itu. Terlihat pada data: `refreshed_within_7d = 0` untuk seluruh 7.720 baris."
end-to-end,14. Show in Discovery,Creator baru muncul di Discovery,Langsung terlihat dan bisa dicari,"Muncul segera di Creator Database — `directory_status='active'` disetel saat INSERT, dan daftar dibaca server-side per request",kolDirectory.ts:155,GET /discover/kol-directory,Baca `kol_directory`,YES,"Tidak perlu refresh manual: modal mengakhiri alurnya dengan navigasi, dan daftar mengambil ulang dari server. Terverifikasi: ketiga creator ada di roster aktif dengan `source='manual_add'` (dua) dan `excel_import` (satu, dipakai ulang)."
end-to-end,15. Update Discovery Result,Data lengkap tersedia untuk filter & analitik,Filter dan layar analitik bisa menemukan creator baru,**Sebagian.** Filter Platform/Tier/Followers/Search/Verified langsung bekerja. Filter Category **tidak akan pernah** menemukannya. Layar berbasis `l2_gold` menunggu batch eksternal,—,—,`l2_gold.*` diisi proses di luar aplikasi,PARTIAL,"Lag gold terukur dari data: `raditya_dika` ditambahkan 2026-08-27 10:13, baris `kol_profile_card`-nya dibuat 2026-08-28 07:06 (**±21 jam**). `sekata_ai` ditambahkan 2026-08-28 03:31, gold 2026-08-28 07:06 (**±3,5 jam**). Keduanya dibuat pada timestamp yang sama persis — satu batch eksternal, bukan pemicu per-creator."
account-validation,Account Found (baru),Apify mengembalikan profil dengan `id` atau `followersCount`,apify/instagram-profile-scraper · clockworks/tiktok-scraper,"Kartu pratinjau: nama, avatar, bio, follower + tombol Add",Belum ditulis; ditulis setelah user menekan Add,YES,,,
account-validation,Account Not Found,"`apifyItemError(...).gone === true`, atau profil kosong tanpa `id`/`followersCount`",sama,Layar error dengan pesan menyebut kode aslinya + tombol Edit,Tidak ditulis,YES,,,
account-validation,Invalid Username,"Regex per platform di `parseCreatorInput` (IG `^[A-Za-z0-9._]{1,30}$`, TT `{1,24}`)","Lokal, tanpa network",Pesan menyebut karakter apa yang boleh,Tidak ditulis,YES,,,
account-validation,Invalid URL,`new URL()` gagal di `fromUrl()`,Lokal,Pesan menyarankan tempel link penuh atau ketik username,Tidak ditulis,YES,,,
account-validation,Wrong-platform URL,`platformOfUrl()` dibandingkan platform terpilih,Lokal,Pesan menyebut platform asli link + tawaran tukar platform,Tidak ditulis,YES,,,
account-validation,Not a profile URL (post/reel),Segmen pertama path dicek terhadap `NOT_A_PROFILE`,Lokal,Pesan menyatakan link itu bukan link profil,Tidak ditulis,YES,,,
account-validation,Already in directory (lengkap),Ada baris `kol_directory` **dan** ada baris di `l0_raw.*_followers_apify`,Query DB KOL,Layar 'sudah ada' + data roster yang ada,Tidak ditulis ulang,YES,,,
account-validation,Already in directory (belum lengkap),Ada baris `kol_directory` tapi **tidak** ada follower row,Query DB KOL,Diperlakukan sebagai `new`; id lama dibawa agar tidak fork,"Baris lama dipakai ulang, bukan INSERT baru",YES,,,
account-validation,Private Account,"**Tidak ada state khusus.** Instagram: jatuh ke `not_found`. TikTok: pesannya menggabung 'new, private, or blocked'",—,Ditampilkan sebagai akun tidak ditemukan,Tidak ditulis,NOT AVAILABLE,,,
account-validation,Restricted / region-blocked,Tidak dibedakan; ikut ke `not_found` atau `unverified`,—,Pesan generik,Tidak ditulis,NOT AVAILABLE,,,
account-validation,Suspended / Unavailable,Tidak dibedakan; `gone` → `not_found`,—,Sama dengan 'tidak ditemukan',Tidak ditulis,NOT AVAILABLE,,,
account-validation,Temporary platform error,"`apifyItemError` tanpa `gone`, atau exception saat fetch",Apify,Layar `unverified`: 'coba lagi sebentar' + tombol Try Again,Tidak ditulis,YES,,,
account-validation,Apify token hilang / invalid,`apifyKolActors.ts:52` melempar; token invalid → pesan khusus,Apify,Masuk ke jalur `unverified`,Tidak ditulis,PARTIAL,,,
duplicate-detection,"Handle sama, sudah lengkap",`findInDirectory()` + `hasFollowerData()`,`WHERE pl.key=$1 AND LOWER(kd.username_normalized)=LOWER($2)` lalu `EXISTS(l0_raw.*_followers_apify)`,"State `already_in_directory`; UI menampilkan data roster yang ada, tidak menawarkan Add",YES,Jalur ini yang mencegah duplikat sungguhan.,,,
duplicate-detection,"Handle sama, belum pernah di-scrape","Sama, tapi `hasFollowerData()` false",Sama,"Diperlakukan `new`, tapi `existingKolDirectoryId` dan `existingSocialAccountId` dibawa ke step Add sehingga baris lama di-UPDATE, bukan di-INSERT lagi",YES,"Ini kasus mayoritas: 7.621 dari 7.720 baris roster punya `scrape_status` NULL. Terbukti pada `febbyrastanty` — `source` tetap `excel_import`, tidak ada baris kedua.",,,
duplicate-detection,Beda kapitalisasi (@Raditya_Dika),`LOWER()` di kedua sisi perbandingan,`LOWER(kd.username_normalized) = LOWER($2)`,Terdeteksi sebagai duplikat,YES,`normalizeUsername()` juga menyimpan bentuk lowercase saat INSERT.,,,
duplicate-detection,Dengan / tanpa @,`parseCreatorInput` membuang `^@` sebelum apa pun,—,Terdeteksi sebagai duplikat,YES,Berlaku untuk input handle maupun URL.,,,
duplicate-detection,URL vs username untuk akun sama,"URL diparse jadi username dulu, baru dibandingkan",—,Terdeteksi sebagai duplikat,YES,`fromUrl()` mengambil segmen path pertama sebagai handle.,,,
duplicate-detection,Handle sama di platform berbeda,Perbandingan selalu dipasangkan dengan `pl.key = $1`,`WHERE pl.key=$1 AND ...`,**Tidak** dianggap duplikat — dan itu benar,YES,"Empat handle di roster memang punya baris IG dan TikTok terpisah (@instagram, @iben_ma, @inul.d, @saalhaerid). `kol_directory` memang berkunci handle-per-platform.",,,
duplicate-detection,Dua user menekan Add bersamaan,**Tidak ada penjagaan di Flow A**,"Tidak ada unique index pada `(platform_id, username_normalized)`",Dua baris `kol_directory` bisa terbentuk untuk handle yang sama,PARTIAL,"Flow B menangani ini dengan benar: komentar di `creators/route.ts` menyebut unique index sebagai penyelesai balapan, dan duplikat dijawab `created:false` + creator yang ada. Flow A tidak punya padanannya — jendela balapannya kecil (dua request harus berpapasan di antara /check dan /add) tapi nyata.",,,
duplicate-detection,"Handle berbeda, akun sama (URL redirect / username diganti)",**Tidak dicek**,—,Akan masuk sebagai creator baru,NOT AVAILABLE,"`platform_user_id` (id numerik platform) baru diisi **setelah** scrape, jadi tidak bisa dipakai untuk dedup di tahap check. Creator yang berganti username akan terdaftar dua kali dengan `platform_user_id` yang sama.",,,
data-collection,"Profil dasar (nama, bio, avatar)",apify/instagram-profile-scraper · clockworks/tiktok-scraper (authorMeta),"Background, per langkah tercatat",`l0_raw.ig_profile_apify` → `kol_directory.bio/avatar_url`,1 item per run — terverifikasi,YES,,,
data-collection,Followers count,Actor yang sama,COALESCE ke `kol_directory`,`kol_directory.followers_count`,Terisi untuk ketiganya,YES,,,
data-collection,Following count,Actor profil,Masuk harmonisasi,`l1_silver.unified_profile.following_count`,Terisi,YES,,,
data-collection,Engagement rate,Dihitung dari profil IG (`igEngagementRate()`),COALESCE ke roster,`kol_directory.engagement_rate`,"IG: terisi (0,12 / 0,29 / 9,42). **TikTok: tidak dihitung sama sekali**",PARTIAL,,,
data-collection,Verifikasi,Field `verified` dari actor,Dipetakan ke 'verified'/'unverified',`kol_directory.verified_status`,Terisi untuk ketiganya,YES,,,
data-collection,Post (10 terbaru),apify/instagram-scraper · clockworks/tiktok-scraper,Harmonisasi → silver,`l0_raw.ig_media_snapshots_apify` → `l1_silver.unified_post`,9–10 post per creator,PARTIAL,,,
data-collection,Sampel follower,apify/instagram-followers-following-scraper · clockworks/tiktok-followers-scraper,Delete-then-insert per hari,`l0_raw.ig_followers_apify`,49–50 baris (UI menjanjikan 100),PARTIAL,,,
data-collection,Kategori / niche,**Tidak dikumpulkan di Flow A**,—,`kol_directory.category_id` / `category_ids`,NULL untuk ketiga creator hasil Add KOL,NOT AVAILABLE,,,
data-collection,Lokasi creator,**Tidak dikumpulkan di Flow A**,—,`kol_directory.creator_city`,NULL — dan 0/7.720 di seluruh roster,NOT AVAILABLE,,,
data-collection,Analisis audiens,**Tidak dikumpulkan**,—,`l2_gold.audience_demographics_daily`,0 baris untuk ketiganya,NOT AVAILABLE,,,
data-collection,Analisis konten / format,Tidak di pipeline aplikasi,Batch eksternal,`l2_gold.content_format_daily`,Menunggu batch,PARTIAL,,,
data-collection,Metrik harian & post gold,Tidak di pipeline aplikasi,Batch eksternal (tidak ada proc `l2_gold` di DB),`l2_gold.kol_metric_daily` · `post_metric` · `kol_profile_card`,"Terisi 3,5–21 jam setelah Add",PARTIAL,,,
data-collection,Rate card,Tidak dikumpulkan,—,`l1_silver.unified_rate_card`,0 baris di seluruh tabel,NOT AVAILABLE,,,
data-collection,Story / comment / tagged post,Tidak dipanggil Flow A (proc-nya ada),—,`l0_harmonization.instagram_story/comment/tagged_post`,Tidak diisi oleh Add KOL,NOT AVAILABLE,,,
database-save,Identitas roster,`public.kol_directory`,"platform_id, username, username_normalized, source, directory_status, profile_url, created_at, updated_at",Ya,"INSERT dalam transaksi; `source='manual_add'`, `directory_status='active'`",YES,,,
database-save,Akun sosial,`public.social_account`,"platform_id, username, profile_url, data_source",Ya,INSERT dalam transaksi yang sama,YES,,,
database-save,Relasi roster↔akun,`public.kol_social_account`,"kol_id, social_account_id, platform_id, created_at",Ya,INSERT dalam transaksi yang sama,YES,,,
database-save,Relasi agency,`public.agency_kol_accounts`,"kol_account_id, agency_id, label",Tidak (best-effort),Gagal diam bila user tak ditemukan; `public.user` kosong. Nyata: 1 dari 2 creator manual dapat link,PARTIAL,,,
database-save,Metrik profil,`public.kol_directory`,"platform_user_id, followers_count, engagement_rate, avatar_url, bio, verified_status",Ya,UPDATE ber-COALESCE setelah scrape; ER hanya untuk Instagram,PARTIAL,,,
database-save,Status scrape,`public.kol_directory`,"scrape_status, last_refreshed_at, updated_at",Ya,'success' atau 'failed'; `last_refreshed_at = now()`,YES,,,
database-save,Kategori,`public.kol_directory`,"category_id, category_ids",Seharusnya,**Tidak pernah ditulis** — NULL untuk semua creator hasil Add KOL,NOT AVAILABLE,,,
database-save,Lokasi,`public.kol_directory`,creator_city,Seharusnya,**Tidak pernah ditulis**,NOT AVAILABLE,,,
database-save,Data mentah,`l0_raw.ig_profile_apify` · `ig_media_snapshots_apify` · `ig_followers_apify`,"raw_payload, scrape_run_id, scraped_at, source_actor",Ya,"INSERT per item, delete-then-insert untuk re-run harian",YES,,,
database-save,Log per langkah,`public.add_kol_scrape_log`,"run_id, step, actor, status, items_fetched, error_message, duration_seconds",Ya,"9 baris nyata dari 3 run, semuanya success",YES,,,
database-save,Log pipeline,`public.add_kol_pipeline_log`,"run_id, step, status, started_at, finished_at",Ya,"18 baris nyata dari 3 run, semuanya success",YES,,,
database-save,Lapisan harmonisasi & silver,`l0_harmonization.*` · `l1_silver.unified_*`,—,Ya,Diisi oleh 6 stored procedure yang terverifikasi ada,YES,,,
database-save,Lapisan gold,`l2_gold.*`,—,Ya,**Tidak ditulis pipeline aplikasi.** Tidak ada satu pun fungsi/prosedur di schema `l2_gold`,PARTIAL,,,
database-save,Monitoring / tracking,NOT FOUND,NOT FOUND,Seharusnya,`kol_directory` tidak punya kolom monitoring; Flow A tidak menjadwalkan refresh apa pun,NOT AVAILABLE,,,
gap-analysis,Trigger Add KOL,"Satu tombol, satu alur yang jelas",Dua tombol berlabel sama membuka dua dialog yang menulis ke dua database,User tidak bisa tahu ke mana creator-nya masuk,P0,,,,,
gap-analysis,Check Account,Verifikasi nyata ke platform,"Verifikasi nyata lewat Apify, dengan pembedaan error permanen vs sementara",Tidak ada gap,—,,,,,
gap-analysis,Private account detection,Membedakan privat dari tidak ada,Instagram: privat → 'tidak ditemukan'. TikTok: tiga sebab digabung dalam satu pesan,User diberi tahu akun tidak ada padahal ada tapi privat,P1,,,,,
gap-analysis,Duplicate — race,Unique index menyelesaikan balapan,"Flow B punya; Flow A tidak punya unique index pada `(platform_id, username_normalized)`",Dua request berpapasan bisa membuat dua baris roster,P1,,,,,
gap-analysis,Duplicate — username berganti,Dedup lewat id platform,Hanya dedup lewat handle; `platform_user_id` baru terisi setelah scrape,Creator yang ganti username masuk dua kali,P2,,,,,
gap-analysis,Kategori creator,Terdeteksi otomatis saat intake,Flow A tidak pernah menulis kategori. Flow B punya `identifyCategory()` berbasis kata kunci bio + hashtag,Creator baru tidak akan pernah ditemukan filter Category,P1,,,,,
gap-analysis,Lokasi creator,Terdeteksi dari bio,Flow A tidak menulis. Flow B punya `identifyCity()`,`creator_city` tetap 0/7.720; filter lokasi tetap mati,P2,,,,,
gap-analysis,Engagement rate TikTok,Dihitung untuk kedua platform,Hanya Instagram (`igEngagementRate`); update TikTok tidak menyentuh kolom ER,KOL TikTok baru selalu ber-ER NULL dan hilang begitu filter ER dipasang,P1,,,,,
gap-analysis,Ukuran sampel follower,100 follower seperti tertulis di UI,49–50 pada ketiga run nyata,Label langkah menjanjikan lebih dari yang diambil,P2,,,,,
gap-analysis,Lapisan gold,Tersedia segera setelah Add,"Diisi batch eksternal; lag terukur 3,5–21 jam",Layar analitik kosong berjam-jam untuk creator yang baru ditambahkan,P1,,,,,
gap-analysis,Monitoring,Creator baru masuk refresh berkala,Tidak ada mekanisme apa pun di Flow A,Data creator membeku sejak menit ia ditambahkan; 0/7.720 baris ter-refresh dalam 7 hari,P1,,,,,
gap-analysis,Agency / ownership,Jejak siapa menambahkan,Best-effort dan gagal diam karena `public.user` kosong,Tidak ada attribusi yang bisa diandalkan,P2,,,,,
gap-analysis,TikTok end-to-end,Terbukti jalan,0 dari 3 run nyata memakai TikTok; leg TikTok belum pernah dieksekusi di produksi,Jalur TikTok belum tervalidasi sama sekali,P1,,,,,
gap-analysis,Progress feedback,User tahu proses berjalan,"Polling status per langkah, dengan deteksi stall 3 menit yang tidak merusak baris log",Tidak ada gap — ini salah satu bagian terkuat,—,,,,,
