no,element,type,expected,actual,file,api_logic,db_impact,status,notes
11,Quick Insight (buka kartu creator),Card click → Panel,Menampilkan ringkasan creator,Panel terbuka **tanpa satu pun network request**; seluruh isinya dihitung dari `sampleIntel(creator)`,"KolDirectoryPage.tsx:556, 909 · CreatorQuickInsight.tsx:60",No API — `sampleIntel()` dari kolSample.ts,Tidak ada,PARTIAL,"Followers, ER, dan Tier ditandai `real` dan memang datang dari baris roster. Tapi tiga section penuh — Audience, Content, Brand fit — ditandai `modelled` dan seluruhnya dihasilkan generator ber-seed, termasuk 'Konten terbaik' yang menampilkan judul post beserta angka views dan ER yang tidak pernah ada. Blok rate card di baris 168 tidak pernah tampil karena `s.rateFrom` selalu null."
12,Saved lists (simpan / terapkan / hapus),Button + Dropdown,Menyimpan kombinasi pencarian & filter,Menulis dan membaca `localStorage['autometric.kolDirectory.lists.<orgId>']`; menerapkan set filter kembali dengan benar,"KolDirectoryPage.tsx:313-323, 692-724",No API,Tidak ada,PARTIAL,"Berfungsi penuh dalam satu browser. Hilang saat ganti perangkat/browser atau clear site data, dan tidak bisa dibagi ke rekan tim. Tracked Accounts punya mekanisme serupa dengan key berbeda (`autometric:discover:lists:<orgId>`) yang juga tidak dibagi — dua daftar tersimpan yang tidak saling kenal."
13,Pagination (Creator Database),Buttons,Pindah halaman hasil,Mengirim `page=` ke API; total dihitung server dengan `COUNT(*) OVER()` di round trip yang sama,KolDirectoryPage.tsx:840 · kolDirectory.ts:298,GET …?page=&pageSize=12,Query DB KOL,YES,Server-side dan benar. Pilihan checkbox bertahan lintas halaman karena disimpan sebagai Map.
14,Pagination (Tracked Accounts),Buttons,Pindah halaman hasil,Memotong array hasil di memori; seluruh roster org sudah di-fetch sekali di awal,DiscoverDirectoryView.tsx:565,Tidak ada request per halaman,Tidak ada,YES,Aman untuk skala saat ini (53 akun di 23 org). Pola ini akan gagal kalau sumbernya diganti ke roster 7.720.
15,View toggle Card / Table (2 layar),Segmented Button,Mengganti tampilan daftar,"Berganti seketika; di Creator Database state-nya tidak persisten, di Tracked Accounts ikut tersimpan di filter",KolDirectoryPage.tsx:779 · DiscoverDirectoryView.tsx:476,No API,Tidak ada,PARTIAL,"Di Creator Database, checkbox bulk hanya ada di tampilan tabel — sehingga Export dan semua aksi bulk tidak bisa diakses sama sekali dari tampilan kartu, yang merupakan tampilan default."
16,Column chooser (2 layar),Checkbox list,Memilih kolom tabel yang tampil,Berfungsi; Tracked Accounts menyimpan sebagai daftar kolom yang **disembunyikan** agar kolom baru tetap muncul untuk semua orang,KolDirectoryPage.tsx:758 · DiscoverDirectoryView.tsx:457,No API,Tidak ada,PARTIAL,Creator Database menyimpan pilihan sebagai state komponen (hilang saat pindah view); Tracked Accounts menyimpannya di filter yang persisten. Kolom 'Rate card' di Creator Database selalu '—' karena membaca tabel kosong.
17,Refresh creator (My Creators),Button,Menjalankan ulang profiling satu creator,"POST nyata, lalu daftar dimuat ulang dan dipoll tiap 4 detik selama masih berjalan",CreatorRoster.tsx:167,POST /discover/creators/[id]/refresh,"Tulis `discover_creator_runs`, update `discover_creators` (warehouse)",YES,"Termasuk sapuan `expireStaleRuns()` di endpoint list, sehingga run yang prosesnya mati tidak menggantung selamanya di status 'profiling'."
18,Monitoring toggle (My Creators),Toggle,Menyalakan/mematikan monitoring creator,"PATCH nyata, daftar dimuat ulang setelahnya",CreatorRoster.tsx:181,PATCH /discover/creators/[id],UPDATE `discover_creators.monitoring_enabled` (warehouse),YES,Berfungsi penuh.
19,Bookmark / Shortlist (Tracked Accounts),Icon Toggle + Bulk,Menandai akun untuk ditinjau nanti,Menulis ke localStorage bucket `fav` dan `compare`; bertahan antar reload,"DiscoverDirectoryView.tsx:264-265, 519, 522, 756",No API,Tidak ada,PARTIAL,"Persisten, tapi tidak ada satu pun filter atau layar yang menampilkan 'hanya yang di-bookmark'. `DEFAULT_FILTERS` tidak punya field bookmark. Jadi setelah menandai 20 akun, tidak ada cara memanggilnya kembali selain memindai daftar dan melihat ikonnya."
20,"Add to campaign (Tracked Accounts, bulk)",Button,Mengirim akun terpilih ke alur ordering,Menambahkan id ke bucket shortlist lalu navigasi ke `?tab=order&view=ordering`,DiscoverDirectoryView.tsx:526 · DiscoverWorkspace.tsx:466,No API di titik ini,Tidak ada,YES,Berfungsi; alur ordering yang membaca shortlist-nya.
21,Find similar — Jalankan (Smart Discovery),Button (primary),Mencari kandidat serupa,"GET nyata dengan constraint; skor kemiripan dihitung server dari tier, platform, kategori, kota","SmartDiscovery.tsx:413, 243",GET /discover/creators/similar?ref=&source=&platform=&city=&tier=&maxRate=&cheaper=,Baca `kol_directory` (KOL) + `discover_creators` (warehouse),PARTIAL,"Mesin kemiripannya nyata dan skornya beralasan. Tapi tiga dari lima constraint-nya (Location, Rate card, Lower price) tidak punya data sama sekali — memasang salah satunya menghasilkan 0 kandidat atau tidak berefek."
22,Shelf action + kartu (Hub),Button / Card,Membuka shelf lengkap atau creator,"Navigasi benar; shelf diisi dari 3 query terpisah (`sort=created`, similar, populer)","DiscoverHub.tsx:89, 111, 121, 221",GET /discover/kol-directory + /discover/creators/similar,Baca DB KOL,YES,Berfungsi. Shelf 'Recommended' memakai kunci sort `created` yang tidak diekspos di dropdown Sort mana pun.
23,Search box Hub,Text Input,Mengirim query ke Creator Database lewat `?q=`,"**Tidak ada di UI.** `page.tsx` membaca, memangkas, dan membatasi `?q=` sampai 200 karakter, lalu men-seed-nya ke dua state agar tidak memicu dua request — tapi tidak ada satu pun komponen yang menulis parameter itu",DiscoverWorkspace.tsx:138 (komentar) · discover/page.tsx:98,"Jalur ada, penulis tidak ada",Tidak ada,NOT AVAILABLE,"Komentar di `DiscoverWorkspace.tsx:138` berbunyi '`?q=` — what the hub\'s search box was submitted with', dan `DiscoverHub.tsx` tidak punya satu pun elemen `<input>`. Pencarian dari beranda Discovery hanya bisa dilakukan dengan mengetik URL sendiri. Parameter `?url=` (seed input Add KOL) juga tidak punya penulis di UI mana pun."
24,Reset / Clear filters (semua layar),Button,Mengembalikan filter ke default,Berfungsi di keempat layar; Creator Database juga mereset halaman ke 1 dan membatalkan preset,"KolDirectoryPage.tsx:688, 393-395 · DiscoverDirectoryView.tsx:417 · CreatorRoster.tsx:271",No API (memicu ulang fetch lewat perubahan state),Tidak ada,YES,`resetAll()` di Creator Database juga mengosongkan kotak pencarian — perilaku yang benar dan tidak selalu ada di layar lain.
25,"Retry (error state, Creator Database)",Button,Memuat ulang setelah gagal,Menaikkan counter `reload` yang jadi dependensi effect fetch,"KolDirectoryPage.tsx:804, 386",Mengulang GET /discover/kol-directory,Baca DB KOL,YES,"Pesan errornya juga informatif di development (host KOL tidak terjangkau, `PG_*_KOL` hilang, kredensial salah) alih-alih sekadar kode status."
26,Breadcrumb / TabStrip / Sidebar nav,Nav controls,Berpindah antar tab dan view Discovery,"Berfungsi; alias URL lama tetap teratasi lewat `resolveTabParams`, dan tab khusus Admin dijaga di server","DiscoverWorkspace.tsx:347, 400 · tabs.ts:471 · OrgNav.tsx",Navigasi Next.js,Tidak ada,YES,"Proteksi rutenya nyata, bukan sekadar menyembunyikan menu: `mayOpenTab(tab, role)` di `page.tsx` mengalihkan Member yang mengetik URL tab Admin."
